Day_of_Week,Time_of_Booking,Days_Before_Travel,Train_Popularity,Season,Travel_Class,Num_Passengers,Booking_Type,Waiting_List_Position,Ticket_Confirmed
Sun,Night,16,Medium,Holiday,1AC,4,Normal,84,1
Thu,Evening,70,Low,Normal,Sleeper,3,Normal,64,1
Fri,Morning,109,Medium,Normal,Sleeper,3,Tatkal,72,1
Sun,Morning,108,Low,Holiday,2AC,2,Tatkal,19,0
Wed,Night,89,Low,Festival,1AC,4,Normal,77,1
Fri,Morning,116,Low,Festival,1AC,3,Normal,87,1
Fri,Morning,65,Medium,Holiday,Sleeper,2,Normal,68,0
Sun,Evening,47,Low,Festival,Sleeper,1,Normal,88,1
Tue,Afternoon,92,High,Holiday,2AC,4,Tatkal,6,1
Wed,Morning,112,High,Holiday,3AC,5,Tatkal,67,0
Sun,Morning,69,Medium,Festival,3AC,2,Normal,57,0
Wed,Night,32,Low,Festival,2AC,2,Normal,72,0
Wed,Afternoon,37,Low,Festival,2AC,2,Normal,23,0
Fri,Evening,0,High,Holiday,2AC,1,Normal,68,1
Thu,Morning,54,Medium,Normal,3AC,3,Tatkal,87,1
Wed,Afternoon,54,High,Normal,1AC,5,Tatkal,68,0
Sat,Afternoon,9,Medium,Festival,1AC,2,Tatkal,69,0
Fri,Night,115,High,Normal,1AC,2,Normal,49,0
Tue,Evening,54,Medium,Normal,3AC,2,Normal,47,1
Thu,Afternoon,94,Low,Holiday,Sleeper,2,Normal,23,1
Sat,Evening,23,Low,Festival,3AC,4,Tatkal,32,0
Sat,Afternoon,71,Medium,Holiday,2AC,3,Normal,15,1
Tue,Morning,27,Medium,Holiday,1AC,3,Normal,63,1
Thu,Evening,91,Medium,Normal,2AC,5,Tatkal,50,0
Fri,Night,111,Medium,Holiday,Sleeper,2,Tatkal,23,0
Mon,Afternoon,107,Medium,Festival,Sleeper,4,Normal,94,0
Thu,Morning,50,High,Festival,2AC,4,Normal,39,0
Tue,Afternoon,45,Medium,Holiday,1AC,2,Normal,49,1
Sat,Morning,71,Low,Normal,3AC,2,Tatkal,91,1
Fri,Evening,28,Medium,Holiday,1AC,5,Normal,40,1
Thu,Night,18,Low,Festival,Sleeper,5,Tatkal,54,0
Mon,Morning,92,Low,Holiday,Sleeper,2,Tatkal,39,0
Mon,Afternoon,78,High,Festival,3AC,4,Normal,67,1
Wed,Morning,94,Low,Normal,3AC,4,Tatkal,35,1
Wed,Morning,4,Medium,Normal,2AC,1,Normal,79,0
Sun,Night,48,Low,Normal,3AC,3,Normal,84,1
Tue,Evening,91,High,Festival,2AC,5,Tatkal,34,0
Thu,Morning,54,Medium,Festival,1AC,1,Normal,84,0
Thu,Morning,45,Low,Normal,Sleeper,3,Tatkal,71,0
Sun,Afternoon,14,Medium,Festival,2AC,2,Tatkal,54,0
Sat,Afternoon,71,Low,Festival,Sleeper,5,Normal,98,1
Sat,Evening,99,Medium,Holiday,2AC,1,Normal,94,1
Sun,Evening,95,High,Normal,3AC,1,Normal,55,1
Sat,Evening,38,High,Festival,2AC,2,Tatkal,8,1
Wed,Afternoon,102,Low,Normal,3AC,5,Normal,57,1
Thu,Morning,21,High,Holiday,3AC,3,Tatkal,86,0
Sun,Evening,61,Low,Festival,Sleeper,1,Normal,16,0
Thu,Afternoon,68,High,Holiday,3AC,1,Tatkal,1,1
Mon,Afternoon,73,Low,Holiday,1AC,1,Tatkal,37,0
Wed,Evening,115,Medium,Festival,2AC,1,Tatkal,20,0
Fri,Afternoon,30,Low,Normal,2AC,1,Tatkal,57,1
Wed,Morning,36,Low,Festival,1AC,5,Tatkal,85,0
Sun,Night,22,Low,Normal,1AC,5,Tatkal,15,1
Fri,Afternoon,95,Medium,Festival,3AC,5,Normal,73,0
Mon,Afternoon,87,High,Holiday,1AC,3,Tatkal,11,0
Sun,Night,3,High,Festival,2AC,5,Normal,26,1
Tue,Morning,116,Medium,Normal,2AC,1,Tatkal,88,0
Thu,Evening,42,High,Normal,1AC,1,Normal,59,0
